Municipio,Genero,Periodo,Valor,media,mediana,desv_std,min,max
Abengibre,Total,2023,760.0,,,,,
Abengibre,Total,2022,739.0,,,,,
Abengibre,Total,2021,748.0,,,,,
Abengibre,Total,2020,761.0,,,,,
Abengibre,HOMBRE,2023,369.0,,,,,
Abengibre,HOMBRE,2022,363.0,,,,,
Abengibre,HOMBRE,2021,365.0,,,,,
Abengibre,HOMBRE,2020,365.0,,,,,
Abengibre,MUJER,2023,391.0,,,,,
Abengibre,MUJER,2022,376.0,,,,,
Abengibre,MUJER,2021,383.0,,,,,
Abengibre,MUJER,2020,396.0,,,,,
ESTADÍSTICAS,,,,,,,,
Media,-,-,,501.3333333333333,387.0,185.4887074893256,363.0,761.0
Mediana,-,-,,501.3333333333333,387.0,185.4887074893256,363.0,761.0
Desv. Std.,-,-,,501.3333333333333,387.0,185.4887074893256,363.0,761.0
